"","year","model","anomaly"
"297",1929,"EC-Earth3-CC.nc",17.9949977030184
"298",1929,"INM-CM5-0.nc",17.0130119507756
"299",1929,"MIROC-ES2L.nc",17.5452452020668
"300",1929,"MIROC6.nc",17.6701160139775
"301",1930,"ACCESS-CM2.nc",17.0398242962408
"302",1930,"CESM2-WACCM.nc",18.7458695578451
"303",1930,"CIESM.nc",18.7996298018695
"304",1930,"CMCC-CM2-SR5.nc",17.8296730442951
"305",1930,"CMCC-ESM2.nc",17.9870898357548
"306",1930,"CNRM-CM6-1.nc",17.8791750724895
"307",1930,"EC-Earth3-CC.nc",17.9551201079531
"308",1930,"INM-CM5-0.nc",17.0770064388853
"309",1930,"MIROC-ES2L.nc",17.6325194269928
"310",1930,"MIROC6.nc",17.729622841265
"311",1931,"ACCESS-CM2.nc",17.3313258755803
"312",1931,"CESM2-WACCM.nc",18.3781892187883
"313",1931,"CIESM.nc",18.6026371913567
"314",1931,"CMCC-CM2-SR5.nc",17.7824364299201
"315",1931,"CMCC-ESM2.nc",18.0530152008528
"316",1931,"CNRM-CM6-1.nc",18.0580869409502
"317",1931,"EC-Earth3-CC.nc",18.1107960500457
"318",1931,"INM-CM5-0.nc",17.1008310124882
"319",1931,"MIROC-ES2L.nc",17.5964541445795
"320",1931,"MIROC6.nc",17.5734011988069
"321",1932,"ACCESS-CM2.nc",17.2926951602791
"322",1932,"CESM2-WACCM.nc",18.7379162695359
"323",1932,"CIESM.nc",18.8169593856009
"324",1932,"CMCC-CM2-SR5.nc",17.877986162811
"325",1932,"CMCC-ESM2.nc",17.3902819765549
"326",1932,"CNRM-CM6-1.nc",17.8694842201945
"327",1932,"EC-Earth3-CC.nc",18.0833455814376
"328",1932,"INM-CM5-0.nc",17.0814242933786
"329",1932,"MIROC-ES2L.nc",17.7353370469762
"330",1932,"MIROC6.nc",17.6917954382421
"331",1933,"ACCESS-CM2.nc",17.4269121120302
"332",1933,"CESM2-WACCM.nc",18.5866699672599
"333",1933,"CIESM.nc",18.8464922671668
"334",1933,"CMCC-CM2-SR5.nc",17.9650709542154
"335",1933,"CMCC-ESM2.nc",17.2199525535024
"336",1933,"CNRM-CM6-1.nc",17.8978949259998
"337",1933,"EC-Earth3-CC.nc",18.1387190627031
"338",1933,"INM-CM5-0.nc",16.8174159054402
"339",1933,"MIROC-ES2L.nc",18.130499597278
"340",1933,"MIROC6.nc",17.6458836852839
"341",1934,"ACCESS-CM2.nc",17.2240371036173
"342",1934,"CESM2-WACCM.nc",18.4118911322229
"343",1934,"CIESM.nc",18.9142997509125
"344",1934,"CMCC-CM2-SR5.nc",17.7334530345593
"345",1934,"CMCC-ESM2.nc",16.8683198421861
"346",1934,"CNRM-CM6-1.nc",17.8876321219692
"347",1934,"EC-Earth3-CC.nc",18.5714642470052
"348",1934,"INM-CM5-0.nc",17.0505214459953
"349",1934,"MIROC-ES2L.nc",17.7250408420465
"350",1934,"MIROC6.nc",17.8033162892697
"351",1935,"ACCESS-CM2.nc",17.3482810176259
"352",1935,"CESM2-WACCM.nc",18.5608779525919
"353",1935,"CIESM.nc",18.9102882002429
"354",1935,"CMCC-CM2-SR5.nc",18.0441501267784
"355",1935,"CMCC-ESM2.nc",17.2159690308724
