"model","loading"
"ACCESS-CM2",1.24290590844267
"ACCESS-CM2",1.12717779726803
"ACCESS-CM2",0.184216099353623
"ACCESS-CM2",0.420795192796587
"ACCESS-CM2",0.521130139873008
"ACCESS-CM2",-0.371997133208047
"ACCESS-CM2",-0.417386709562292
"ACCESS-CM2",-0.459746078134113
"ACCESS-CM2",-0.514776215850622
"ACCESS-CM2",-0.576462744423347
"ACCESS-CM2",-0.63105124711686
"ACCESS-CM2",-0.677483857160204
"ACCESS-CM2",-0.693704129244428
"ACCESS-CM2",-0.684283917101043
"ACCESS-CM2",-0.639154274990556
"ACCESS-CM2",-0.592527147022643
"ACCESS-CM2",-0.540342034248647
"ACCESS-CM2",-0.447858844820184
"ACCESS-CM2",-0.303618690839794
"ACCESS-CM2",-0.116665179679167
"ACCESS-CM2",0.0886087091759527
"ACCESS-CM2",0.296675437338582
"ACCESS-CM2",0.425522949063581
"ACCESS-CM2",0.401727437903055
"ACCESS-CM2",0.270746475847412
"ACCESS-CM2",0.176550460056924
