"year","ACCESS-CM2_245","ACCESS-ESM1-5_245","BCC-CSM2-MR_245","CAMS-CSM1-0_245","CanESM5-CanOE_245","CanESM5_245","CESM2-WACCM_245","CESM2_245","CIESM_245","CMCC-CM2-SR5_245","CMCC-ESM2_245","GISS-E2-1-G_245","HadGEM3-GC31-LL_245","INM-CM4-8_245","INM-CM5-0_245","MIROC-ES2L_245","MIROC6_245","NorESM2-LM_245","NorESM2-MM_245","UKESM1-0-LL_245"
1961,-0.0783503629248749,-0.0727173459711101,0.106797598331127,0.219365858720677,0.0587948163761809,0.120270262147602,-0.043406630013623,-0.0827187693054613,0.305762265468833,0.273265023782231,0.256510563794836,0.00249143678565052,-0.111477638288824,0.167869757248475,0.15942379726898,0.0298875139953267,-0.0102066829014595,-0.175009010677859,-0.149251296878829,-0.286638289067942
1962,-0.0784552667056656,-0.0725956566394221,0.110614947923818,0.222315815625606,0.0615481034540056,0.125837072894663,-0.0426637092955854,-0.0830787300546844,0.312151106972102,0.280881137478103,0.262139423601374,0.00359506332662771,-0.112045751226096,0.168961613594934,0.161530134171065,0.0316093247856212,-0.0106067970279195,-0.178004059279051,-0.151574242993327,-0.289693236556788
1963,-0.0780942252054025,-0.0719837316495285,0.114689220936349,0.225347659611627,0.0648684191736159,0.131885598651732,-0.0415057176608849,-0.0830117901221934,0.318685501575068,0.28878554631048,0.26800985078996,0.00507180540515498,-0.11204772184264,0.170322154465687,0.163890229242228,0.0336709449679057,-0.0106749398694178,-0.180490892124684,-0.153422045972191,-0.292054562372373
1964,-0.0772076150144579,-0.0708203144981571,0.119047732303344,0.228478811408357,0.0688265934385194,0.138464589840179,-0.0398829181835614,-0.0824658674210648,0.3253818185647,0.297006820854094,0.274153748023661,0.00696689120543503,-0.111413049922538,0.17199443145663,0.166541714134675,0.0361124198701941,-0.0103664793956679,-0.182404046126482,-0.154731078877562,-0.293638822839547
1965,-0.0757358127232044,-0.0690441486820357,0.123717796959428,0.231726691745413,0.073493456152224,0.145622796881373,-0.0377455739376551,-0.0813888798643747,0.332256427227973,0.305573531683678,0.280603017965544,0.00932554891167065,-0.110071235249869,0.174021496163654,0.169522220500612,0.0389737948205003,-0.00963678357638283,-0.183678058196167,-0.155437714771585,-0.29436257428316
1966,-0.0736191949220146,-0.0665939776978922,0.128726729839227,0.235108721352411,0.0789398372182375,0.153408970196682,-0.0350439479972061,-0.0797287453651993,0.339325696851859,0.314514249373966,0.287389563278678,0.0121930067080646,-0.107951777608714,0.176446400182652,0.172869379992245,0.0422951151468381,-0.00844122038127591,-0.184247465245463,-0.1554783267164,-0.294142373028061
1967,-0.0707981382012611,-0.0634085450424543,0.134101845877366,0.238642320958969,0.0852365665400675,0.161871860207477,-0.0317283034362545,-0.0774333818366148,0.346605996723328,0.323857544499689,0.294545286626128,0.0156144927788196,-0.104984176783153,0.179312195109517,0.17662082426178,0.0461164261772214,-0.00673515778006037,-0.184046804186091,-0.15478928777415,-0.2928947753991
1968,-0.0672130191513164,-0.0594265942124499,0.139870460008471,0.242344911294703,0.0924544740212219,0.171060217335126,-0.0277489033288403,-0.0744507071916975,0.354113696129355,0.333631987635581,0.302102090670964,0.0196352353081384,-0.101097932557267,0.182661932540142,0.180814184961424,0.0504777732396641,-0.00447396374244945,-0.183010611929775,-0.153306971006979,-0.290536337721127
1969,-0.0628042143625531,-0.0545868687046067,0.146059887167166,0.246233913089231,0.100664389565209,0.181022792000998,-0.0230560107490035,-0.0707286393435236,0.361865164356912,0.343866149356376,0.310091878076251,0.0243004624802239,-0.0962225447151364,0.18653866407042,0.185487093743381,0.05541920166218,-0.00161300623815638,-0.181073425388238,-0.150967749477028,-0.286983616318991
1970,-0.0575121004253436,-0.0488281120156527,0.152697442288076,0.250326747072169,0.109937143075535,0.191808334626463,-0.0175998887707844,-0.0662150962051691,0.36987677069297,0.354588600236804,0.318546551505058,0.0296554024792786,-0.0902875130408406,0.190985441296244,0.19067718225986,0.060980756772783,0.00189234676310559,-0.178169781473203,-0.147707996246439,-0.282153167517543
1971,-0.0512770539300606,-0.0420890676423157,0.159810440305828,0.254640833973133,0.120343564455709,0.20346559563289,-0.011330800468223,-0.0608579956897106,0.378164884424503,0.3658279108516,0.327498013620451,0.0357452834895055,-0.0832223373184603,0.196045315813507,0.196422082163065,0.0672024838994869,0.00608672729162322,-0.174234217096392,-0.143464084377356,-0.27596154764163
1972,-0.0440394514670767,-0.0343084790813233,0.167426196155046,0.259193594521743,0.131954483609239,0.216043325441647,-0.00419900891535939,-0.054605255710224,0.386745874838482,0.377612651775497,0.336978167085498,0.0426153336951072,-0.0749565173320758,0.201761339218101,0.202759425105202,0.0741244283703057,0.0110147673776833,-0.169201269169529,-0.13817238693192,-0.268325313016104
1973,-0.0357396696267643,-0.0254250898294036,0.175572024770356,0.264002449447613,0.144840730439632,0.229590274474105,0.00384522281376644,-0.0474047941797855,0.39563611122188,0.389971393583227,0.347018914563267,0.0503107812802865,-0.0654195528657675,0.208176563105919,0.209726842738478,0.0817866355132531,0.0167210990515725,-0.163005474604336,-0.131769276972274,-0.259161019965814
1974,-0.026318084999496,-0.0153776433832842,0.184275241086382,0.269084819480361,0.159073134850396,0.244155193151631,0.0128516316451143,-0.0392045290114716,0.40485196286167,0.402932706849523,0.357652158716825,0.0588768544292462,-0.0545409437036158,0.215334039072855,0.217361966715099,0.0902291506563431,0.0232503543435777,-0.155581370312537,-0.12419112756056,-0.248385224815609
1975,-0.0161991464877753,-0.00441076476394688,0.193391672538591,0.274166301204092,0.174419283994124,0.259542377648283,0.0226019487732687,-0.0302525479250448,0.414229201248034,0.416252678413048,0.368448344034075,0.0681461323269627,-0.0426716290746622,0.222969464672689,0.225478653756077,0.0992412954030004,0.0303557444901035,-0.147208690036271,-0.115743023331675,-0.23633922979418
1976,-0.00583995436298222,0.00717899095937233,0.202757162453399,0.278978127799003,0.190581939669232,0.275514575559489,0.03283781056292,-0.0208369926244844,0.423599686972254,0.429677737951853,0.378984067000956,0.0779108860583881,-0.0302167337643207,0.230790832575617,0.233862571666189,0.108582820618875,0.0377589960415208,-0.138222331230243,-0.106779592847065,-0.223435053606087
