"Year","Estimate","LCI","UCI","variable"
2020,0.913690098662704,0.905238784311871,0.921422979199972,"Fraction of Attributable Risk"
2021,0.712744439063681,0.688108220542807,0.73690441253519,"Fraction of Attributable Risk"
1950,1.19536397431758,1.15529665061287,1.23903991594977,"Risk ratio"
1951,1.37982167272953,1.30023566498932,1.4667853026269,"Risk ratio"
1952,1.33785964436159,1.26878302215798,1.41337322498851,"Risk ratio"
1953,1.36149178156393,1.27719581114364,1.45296053944999,"Risk ratio"
1954,1.34079260050432,1.25298811992768,1.43749611875212,"Risk ratio"
1955,1.25771102076613,1.20170459291833,1.31785543428074,"Risk ratio"
1956,1.2305730668361,1.17331433181259,1.29271381361274,"Risk ratio"
1957,1.61651932610622,1.46440488331157,1.78418125463637,"Risk ratio"
1958,1.4629416750069,1.33311439997604,1.60481033871481,"Risk ratio"
1959,1.19144975461553,1.10465484086227,1.28630303314888,"Risk ratio"
1960,1.07991175528405,1.01942189854015,1.14622106573813,"Risk ratio"
1961,1.04651534382628,0.97687577506034,1.12296408035647,"Risk ratio"
1962,1.01100841676877,0.943554079901291,1.08541557834081,"Risk ratio"
1963,1.1342938652059,1.03395072549091,1.24662513211549,"Risk ratio"
1964,1.00162809359339,0.950089982654181,1.0546458389648,"Risk ratio"
1965,1.01829825870819,0.981677291672002,1.05363225214953,"Risk ratio"
1966,1.00123376948864,0.958764033314057,1.04253028642179,"Risk ratio"
1967,0.912994570153955,0.855654291353664,0.975512297675505,"Risk ratio"
1968,0.903930793903825,0.847966183669698,0.964734239570181,"Risk ratio"
1969,0.972515376062522,0.929295688527094,1.01450773294424,"Risk ratio"
1970,0.907960379182422,0.855486266385637,0.964199960168844,"Risk ratio"
1971,1.00336107670133,0.975954471741253,1.03685328464882,"Risk ratio"
1972,1.00359357924317,0.97583925104803,1.03734179308074,"Risk ratio"
1973,0.99919842009385,0.969426045642889,1.03055920779264,"Risk ratio"
1974,0.946707586317907,0.898108198340641,0.997287688551922,"Risk ratio"
1975,1.0087349592664,0.980038089914997,1.04046610965712,"Risk ratio"
1976,1.00285228009334,0.963353822371185,1.04235674978737,"Risk ratio"
1977,0.955108507752297,0.879842701658363,1.03889143835761,"Risk ratio"
1978,0.998754324058606,0.946073993437281,1.0536764440271,"Risk ratio"
1979,1.00823314775053,0.932853365691976,1.09163138965943,"Risk ratio"
