"model","year","warming"
"CAMS-CSM1-0",2007,0.36124440971508
"CAMS-CSM1-0",2008,0.380285311025416
"CAMS-CSM1-0",2009,0.40052659241982
"CAMS-CSM1-0",2010,0.421786980723181
"CAMS-CSM1-0",2011,0.44385911768744
"CAMS-CSM1-0",2012,0.466510001227122
"CAMS-CSM1-0",2013,0.489483881623908
"CAMS-CSM1-0",2014,0.512507821006193
"CAMS-CSM1-0",2015,0.535299852887492
"CAMS-CSM1-0",2016,0.557579397798454
"CAMS-CSM1-0",2017,0.579079326917368
"CAMS-CSM1-0",2018,0.599558842736936
"CAMS-CSM1-0",2019,0.61881618539822
"CAMS-CSM1-0",2020,0.636700091176301
"CAMS-CSM1-0",2021,0.653118934616863
"CAMS-CSM1-0",2022,0.668046579088902
"CAMS-CSM1-0",2023,0.681524135060065
"CAMS-CSM1-0",2024,0.693657066602669
"CAMS-CSM1-0",2025,0.704607373308846
"CAMS-CSM1-0",2026,0.71458088075868
"CAMS-CSM1-0",2027,0.723809968769292
"CAMS-CSM1-0",2028,0.732532322846023
"CAMS-CSM1-0",2029,0.740966481863725
"CAMS-CSM1-0",2030,0.749285048546734
"CanESM5-CanOE",1940,0.211484107418107
"CanESM5-CanOE",1941,0.198653939039606
"CanESM5-CanOE",1942,0.185893443145942
"CanESM5-CanOE",1943,0.173292863715435
"CanESM5-CanOE",1944,0.160939311522048
"CanESM5-CanOE",1945,0.148883472743789
"CanESM5-CanOE",1946,0.137111245345101
"CanESM5-CanOE",1947,0.12552399021597
"CanESM5-CanOE",1948,0.113930416045537
"CanESM5-CanOE",1949,0.102051996949167
"CanESM5-CanOE",1950,0.0895423991549137
"CanESM5-CanOE",1951,0.0760198357023882
"CanESM5-CanOE",1952,0.0611097504485238
"CanESM5-CanOE",1953,0.0444939211348813
"CanESM5-CanOE",1954,0.0259611102761335
"CanESM5-CanOE",1955,0.0054538920150187
"CanESM5-CanOE",1956,-0.0168936917248473
"CanESM5-CanOE",1957,-0.0407324265358804
"CanESM5-CanOE",1958,-0.0654918835802844
"CanESM5-CanOE",1959,-0.090394265146593
"CanESM5-CanOE",1960,-0.114488586941934
"CanESM5-CanOE",1961,-0.13670374058009
"CanESM5-CanOE",1962,-0.155917118760064
"CanESM5-CanOE",1963,-0.171033845117571
"CanESM5-CanOE",1964,-0.181070390812853
"CanESM5-CanOE",1965,-0.185235610304601
"CanESM5-CanOE",1966,-0.183002076302133
"CanESM5-CanOE",1967,-0.174161073787732
"CanESM5-CanOE",1968,-0.158855704473486
"CanESM5-CanOE",1969,-0.137588179921674
"CanESM5-CanOE",1970,-0.111199417754417
"CanESM5-CanOE",1971,-0.0808213350064042
"CanESM5-CanOE",1972,-0.0478045637409756
"CanESM5-CanOE",1973,-0.0136264947756671
"CanESM5-CanOE",1974,0.0202136083383977
"CanESM5-CanOE",1975,0.0523043603241102
"CanESM5-CanOE",1976,0.0814281256001858
"CanESM5-CanOE",1977,0.106654305405672
"CanESM5-CanOE",1978,0.127412112272399
"CanESM5-CanOE",1979,0.143536370344265
"CanESM5-CanOE",1980,0.15528193117759
"CanESM5-CanOE",1981,0.163304771469851
"CanESM5-CanOE",1982,0.168610543129222
"CanESM5-CanOE",1983,0.172474054881738
"CanESM5-CanOE",1984,0.176335650511692
"CanESM5-CanOE",1985,0.181682497990498
"CanESM5-CanOE",1986,0.189924234550957
"CanESM5-CanOE",1987,0.202273091792375
"CanESM5-CanOE",1988,0.219638479103338
"CanESM5-CanOE",1989,0.24254502763967
"CanESM5-CanOE",1990,0.271081354681512
"CanESM5-CanOE",1991,0.304884428493255
"CanESM5-CanOE",1992,0.343161581427911
"CanESM5-CanOE",1993,0.384749159614461
"CanESM5-CanOE",1994,0.428203759734671
"CanESM5-CanOE",1995,0.471919238337793
"CanESM5-CanOE",1996,0.514260419841979
"CanESM5-CanOE",1997,0.553702870976404
"CanESM5-CanOE",1998,0.58896739249336
"CanESM5-CanOE",1999,0.619138077062671
"CanESM5-CanOE",2000,0.64375389480483
"CanESM5-CanOE",2001,0.662865719280052
"CanESM5-CanOE",2002,0.677053351359208
"CanESM5-CanOE",2003,0.68740023178201
"CanESM5-CanOE",2004,0.695426907970041
"CanESM5-CanOE",2005,0.70298766622674
"CanESM5-CanOE",2006,0.712137784897225
"CanESM5-CanOE",2007,0.724981356299244
"CanESM5-CanOE",2008,0.74351135576143
"CanESM5-CanOE",2009,0.769454454490623
"CanESM5-CanOE",2010,0.804132900756118
"CanESM5-CanOE",2011,0.848354631579767
"CanESM5-CanOE",2012,0.902340705047069
"CanESM5-CanOE",2013,0.965696315720508
"CanESM5-CanOE",2014,1.03742828869285
"CanESM5-CanOE",2015,1.11600830279197
"CanESM5-CanOE",2016,1.19947745567929
"CanESM5-CanOE",2017,1.28558443950868
"CanESM5-CanOE",2018,1.37194680966203
"CanESM5-CanOE",2019,1.45622282114598
"CanESM5-CanOE",2020,1.53628023549759
"CanESM5-CanOE",2021,1.61034844758151
"CanESM5-CanOE",2022,1.67714124497832
"CanESM5-CanOE",2023,1.73593940651714
"CanESM5-CanOE",2024,1.78662500524871
"CanESM5-CanOE",2025,1.8296624711237
"CanESM5-CanOE",2026,1.86602490452132
"CanESM5-CanOE",2027,1.89706749649565
"CanESM5-CanOE",2028,1.92435287790991
"CanESM5-CanOE",2029,1.9494354712702
"CanESM5-CanOE",2030,1.97361316957552
"CanESM5",1940,0.226066593023798
"CanESM5",1941,0.198845008788508
"CanESM5",1942,0.172163609194934
"CanESM5",1943,0.146793865686872
"CanESM5",1944,0.123655413443379
"CanESM5",1945,0.103668214790821
"CanESM5",1946,0.0876259284945801
"CanESM5",1947,0.0760949558871808
"CanESM5",1948,0.069342890957235
"CanESM5",1949,0.0672987986273497
"CanESM5",1950,0.0695460461564609
"CanESM5",1951,0.0753464948002299
"CanESM5",1952,0.0836929056834375
"CanESM5",1953,0.0933846023894476
"CanESM5",1954,0.103119922630263
"CanESM5",1955,0.111597913916476
"CanESM5",1956,0.117621177743854
"CanESM5",1957,0.120191794470214
"CanESM5",1958,0.118592871331447
"CanESM5",1959,0.112449407327343
"CanESM5",1960,0.101763776949876
"CanESM5",1961,0.0869230803486661
"CanESM5",1962,0.0686777449598403
"CanESM5",1963,0.0480929327557743
"CanESM5",1964,0.026476345928528
"CanESM5",1965,0.00528778027669597
"CanESM5",1966,-0.0139628798211123
"CanESM5",1967,-0.0298216959543435
"CanESM5",1968,-0.0409929440557503
"CanESM5",1969,-0.0464301375737148
"CanESM5",1970,-0.0454091976544608
"CanESM5",1971,-0.0375785179386645
"CanESM5",1972,-0.0229824049191389
"CanESM5",1973,-0.00205635259910793
"CanESM5",1974,0.0244053179035275
"CanESM5",1975,0.0553069126847769
"CanESM5",1976,0.0893295720187593
"CanESM5",1977,0.125024429776507
"CanESM5",1978,0.160913910971266
"CanESM5",1979,0.195593852181723
"CanESM5",1980,0.227829170833723
"CanESM5",1981,0.256636380558939
"CanESM5",1982,0.281347299561809
"CanESM5",1983,0.301649740847557
"CanESM5",1984,0.317602693518065
"CanESM5",1985,0.32962537102696
"CanESM5",1986,0.338461375254696
"CanESM5",1987,0.345120967286997
"CanESM5",1988,0.350805922720125
"CanESM5",1989,0.356822579160041
"CanESM5",1990,0.36448938353192
"CanESM5",1991,0.375045477953261
"CanESM5",1992,0.389566622143783
"CanESM5",1993,0.40889406948959
"CanESM5",1994,0.433580956210225
"CanESM5",1995,0.463859417459583
"CanESM5",1996,0.499630117498078
"CanESM5",1997,0.540474289477983
"CanESM5",1998,0.585686840254772
"CanESM5",1999,0.63432769476885
"CanESM5",2000,0.685287424394564
"CanESM5",2001,0.737362393187497
"CanESM5",2002,0.789334207477921
"CanESM5",2003,0.840048181509878
"CanESM5",2004,0.888485820432403
"CanESM5",2005,0.933826932004322
"CanESM5",2006,0.975497848910121
"CanESM5",2007,1.01320329846803
"CanESM5",2008,1.04694061119939
"CanESM5",2009,1.07699612830675
"CanESM5",2010,1.10392477000192
"CanESM5",2011,1.12851469246144
"CanESM5",2012,1.15173973734672
"CanESM5",2013,1.17470292940284
"CanESM5",2014,1.19857458963836
"CanESM5",2015,1.22452870832755
"CanESM5",2016,1.25368108509942
"CanESM5",2017,1.28703242796987
"CanESM5",2018,1.32541915402893
"CanESM5",2019,1.36947410093827
"CanESM5",2020,1.41959878964145
"CanESM5",2021,1.47594831958205
"CanESM5",2022,1.53842946535117
"CanESM5",2023,1.60671210512564
