"ACCESS-CM2.nc_piControl","date"
14.3157048306689,02/01/12
14.2387626222322,03/01/12
14.7458744694818,04/01/12
15.7713179321574,05/01/12
17.4860785591523,06/01/12
19.5843782948331,07/01/12
21.0560611255401,08/01/12
20.7680431323011,09/01/12
19.2958873871651,10/01/12
17.5647881944075,11/01/12
15.970225146313,12/01/12
14.8191688270288,01/01/13
14.2264634329286,02/01/13
14.0890757339185,03/01/13
14.4634087603669,04/01/13
15.5972117427546,05/01/13
17.3855667316991,06/01/13
19.3747343592375,07/01/13
20.7988245311606,08/01/13
20.5396957283959,09/01/13
19.1943605668432,10/01/13
17.3232984170187,11/01/13
15.8979113097632,12/01/13
14.96606118094,01/01/14
14.4519368959798,02/01/14
14.2484769718406,03/01/14
14.5032917245116,04/01/14
15.5884731783911,05/01/14
17.1641936592185,06/01/14
19.2558727030257,07/01/14
20.6784803642059,08/01/14
20.5545784357893,09/01/14
19.2619037386689,10/01/14
17.5468371600475,11/01/14
15.9762110271085,12/01/14
14.8178884117627,01/01/15
14.296029211529,02/01/15
14.1760320760988,03/01/15
14.5112615551268,04/01/15
15.6068660694557,05/01/15
17.652928034132,06/01/15
19.6400218426904,07/01/15
20.8603507644663,08/01/15
20.7577651180332,09/01/15
19.3148746702124,10/01/15
17.343183180197,11/01/15
15.9953393915213,12/01/15
14.8920861966646,01/01/16
14.3109647831343,02/01/16
14.1824772147353,03/01/16
14.5985103024792,04/01/16
15.6220758741603,05/01/16
17.5367601399186,06/01/16
19.6828623392243,07/01/16
21.1355001767859,08/01/16
20.8928643473362,09/01/16
19.1565523027486,10/01/16
17.4158497752275,11/01/16
16.0073756915043,12/01/16
14.9343389092422,01/01/17
14.4167698600731,02/01/17
14.2662836208217,03/01/17
14.6279751621944,04/01/17
15.7932053678972,05/01/17
17.4353329906629,06/01/17
19.2923606834277,07/01/17
20.7437389210066,08/01/17
20.807507367834,09/01/17
19.3688828416473,10/01/17
17.7892561360945,11/01/17
16.2456507741398,12/01/17
15.2116327362914,01/01/18
14.582282971829,02/01/18
14.3518099860696,03/01/18
14.7351382987105,04/01/18
15.7894881327293,05/01/18
17.5591444992504,06/01/18
19.6138699170556,07/01/18
20.8255027861052,08/01/18
20.5630244848468,09/01/18
19.2836412823411,10/01/18
17.5878656255842,11/01/18
16.2405601707998,12/01/18
15.1801351374942,01/01/19
14.5778640743817,02/01/19
14.3815922513239,03/01/19
14.7607082774791,04/01/19
15.7615848598073,05/01/19
17.4694763331326,06/01/19
19.5915971232378,07/01/19
21.0483482370215,08/01/19
21.1308726859691,09/01/19
19.6693088363593,10/01/19
17.8873147337135,11/01/19
16.2144760875704,12/01/19
15.2028061750418,01/01/20
14.600769036067,02/01/20
14.4312002480532,03/01/20
14.7955782825952,04/01/20
15.8222405957568,05/01/20
17.7108414390883,06/01/20
19.8861621288549,07/01/20
21.2811384374032,08/01/20
21.0546654002117,09/01/20
19.5970864108426,10/01/20
17.8462143508218,11/01/20
16.150513474898,12/01/20
15.0918405598161,01/01/21
14.5631422724334,02/01/21
14.3960371769623,03/01/21
14.8003095194278,04/01/21
15.9199143859665,05/01/21
17.6990971037424,06/01/21
19.6648599825252,07/01/21
21.0057069724863,08/01/21
21.0651507963776,09/01/21
19.4711268531109,10/01/21
17.7384116674752,11/01/21
16.2860869402355,12/01/21
15.139981464531,01/01/22
14.563121897685,02/01/22
14.4557191100748,03/01/22
14.8458148127774,04/01/22
15.8127821970411,05/01/22
17.6194560671535,06/01/22
19.616299137727,07/01/22
21.030214050194,08/01/22
20.8757573782265,09/01/22
19.4308928926258,10/01/22
17.7646026906,11/01/22
16.2562231759878,12/01/22
15.1627532744825,01/01/23
14.5105095617123,02/01/23
14.3517650514895,03/01/23
14.7700928865657,04/01/23
15.801134779417,05/01/23
17.5446525464901,06/01/23
19.6291525201854,07/01/23
21.0153923569119,08/01/23
20.9773629441975,09/01/23
19.3531425225494,10/01/23
17.5848029154401,11/01/23
16.1129184297915,12/01/23
15.0486476352028,01/01/24
14.516508548427,02/01/24
14.3316091389576,03/01/24
14.7143281915561,04/01/24
15.7312839746074,05/01/24
17.5773518149044,06/01/24
19.558497518552,07/01/24
21.0422468258963,08/01/24
20.9392959758658,09/01/24
19.4697448945044,10/01/24
17.6902509386809,11/01/24
16.1072359675456,12/01/24
15.1694107510369,01/01/25
14.6549936203694,02/01/25
14.4363645308885,03/01/25
14.7580135242767,04/01/25
15.8827724312096,05/01/25
17.4188836303226,06/01/25
19.4836704292608,07/01/25
21.1759814977292,08/01/25
21.0142298949187,09/01/25
19.5358340802349,10/01/25
17.705604798363,11/01/25
16.1465785052573,12/01/25
15.0453382254031,01/01/26
14.4703465273782,02/01/26
14.3180736980316,03/01/26
14.7365981218958,04/01/26
15.8529576764918,05/01/26
17.4339733892127,06/01/26
19.455858016703,07/01/26
20.8476361505642,08/01/26
20.7133577482849,09/01/26
19.3666777432078,10/01/26
17.678589754335,11/01/26
16.1319573655792,12/01/26
14.998215727704,01/01/27
14.5164083266919,02/01/27
14.3509191139651,03/01/27
14.8324989785984,04/01/27
15.8631560640405,05/01/27
17.691528931004,06/01/27
19.7427328213592,07/01/27
21.0685363086157,08/01/27
20.8591008562558,09/01/27
19.338664777046,10/01/27
17.4988469183366,11/01/27
15.9856890296361,12/01/27
14.9064606366871,01/01/28
14.3661337645558,02/01/28
14.2511759101264,03/01/28
14.7010298686474,04/01/28
15.5708415319782,05/01/28
17.3640215917316,06/01/28
19.4199846928983,07/01/28
20.7555077060506,08/01/28
20.6055646465767,09/01/28
18.9450938030789,10/01/28
17.1639255936105,11/01/28
15.8223233062217,12/01/28
14.7874757407813,01/01/29
14.2900477360845,02/01/29
14.2060906669941,03/01/29
14.4951438075825,04/01/29
15.5783524351536,05/01/29
17.4578125055761,06/01/29
19.4813210555762,07/01/29
20.7837011814693,08/01/29
20.9525919859653,09/01/29
19.5672821188334,10/01/29
17.6210444164541,11/01/29
16.0517636777083,12/01/29
15.0894177269037,01/01/30
14.5195298482717,02/01/30
14.4468008073909,03/01/30
14.733880130467,04/01/30
15.7129780892249,05/01/30
17.4506199991436,06/01/30
19.4571463616009,07/01/30
20.9387737215056,08/01/30
20.7668439957609,09/01/30
19.2661142630142,10/01/30
17.5430714660187,11/01/30
15.9954516178379,12/01/30
14.9991765347556,01/01/31
14.4242647938512,02/01/31
14.2950317299304,03/01/31
14.6255360294834,04/01/31
15.7436703898606,05/01/31
17.4289929196475,06/01/31
19.4165545764814,07/01/31
20.6867944730012,08/01/31
20.7856846907539,09/01/31
19.3022536700189,10/01/31
17.6241558057266,11/01/31
16.1959675560423,12/01/31
15.0894018676402,01/01/32
14.5536291372316,02/01/32
14.41096669121,03/01/32
14.8334306001997,04/01/32
15.9795260537307,05/01/32
17.9392304735604,06/01/32
19.9266985166857,07/01/32
21.2494998673742,08/01/32
20.9813432889534,09/01/32
19.3335147014677,10/01/32
17.6063130328673,11/01/32
16.1351821926398,12/01/32
15.0179850706863,01/01/33
14.4787571133602,02/01/33
14.2976978483514,03/01/33
14.7884628698051,04/01/33
15.7988356267337,05/01/33
17.5033032612673,06/01/33
19.5866023362819,07/01/33
20.8601944846398,08/01/33
20.6962721451275,09/01/33
19.2695383220735,10/01/33
17.6424613607077,11/01/33
16.1610859868799,12/01/33
15.0327860588188,01/01/34
14.5353540893061,02/01/34
14.4878108805872,03/01/34
