"year","ACCESS-CM2","ACCESS-ESM1-5","BCC-CSM2-MR","CAMS-CSM1-0","CanESM5-CanOE","CanESM5","CESM2-WACCM","CESM2","CIESM","CMCC-CM2-SR5","CMCC-ESM2","CNRM-CM6-1","EC-Earth3-CC","GISS-E2-1-G","HadGEM3-GC31-LL","HadGEM3-GC31-MM","INM-CM4-8","INM-CM5-0","MIROC-ES2L","MIROC6","NorESM2-LM","NorESM2-MM","UKESM1-0-LL"
1910,-0.0859488625282043,-0.0660211899899362,-0.0366268008237615,-0.00432361210667328,-0.0709856326411945,-0.0327688933600816,-0.0618212405348347,-0.0450680722843933,0.0143520361930972,-0.0150520681374145,-0.0239671167338899,-0.144255214397693,-0.0935543784295221,-0.0352604197471398,-0.0723238415116785,-0.103637393605641,0.0187425300718518,-0.0060657548326744,-0.0280777914061347,-0.019140547965524,-0.0393395273844314,-0.0726901920443079,-0.0938314020760298
1911,-0.0877800990366889,-0.0669787621382134,-0.0357058620452812,-0.00144363412765307,-0.069999575886265,-0.0306799117783459,-0.0624563480346578,-0.0458627880777622,0.0184843310862586,-0.0103531238207853,-0.0200747656944055,-0.147207322027705,-0.09065366248099,-0.0351349178321942,-0.0739466662589742,-0.106321177529484,0.0220553667126787,-0.00328228276833995,-0.0277134271381682,-0.0188320993269936,-0.040932596559468,-0.0750507009175573,-0.098209999497905
1912,-0.0895097257308323,-0.0678301181433114,-0.0346980621507767,0.00146662986738586,-0.0688766436196808,-0.0284686248639938,-0.0629958381915164,-0.0465907456861295,0.022661160361834,-0.0055257305883464,-0.0160683806508204,-0.149912694616619,-0.0875670580638716,-0.0349336343263318,-0.0754671565598897,-0.108864621163969,0.0253810114343796,-0.000444576312566937,-0.0272868349449335,-0.0184868640720095,-0.0424770846416408,-0.0773278511633218,-0.102450285110533
1913,-0.0911335449099583,-0.0686655513845208,-0.033627015757351,0.00457250500461616,-0.0677002682964233,-0.0263586684226125,-0.063561761667537,-0.0474578398170849,0.0269298014272472,-0.000658903659187231,-0.0119113423876019,-0.152456637060844,-0.0840186168269365,-0.0347600911203385,-0.0769640022528177,-0.111237627621034,0.0287470092634734,0.00245722846085766,-0.0268831973299667,-0.0181648093087259,-0.0441644765274406,-0.0795879356035495,-0.106810221934386
1914,-0.0926469155625422,-0.0695703062416209,-0.032514109736106,0.00802883411351734,-0.0665503040849993,-0.0245590810676733,-0.0642685333394717,-0.0486567179982122,0.0313347324344375,0.00416326375845863,-0.00757059548130795,-0.154918134664975,-0.0797487255331052,-0.0347109213891972,-0.0785107866292801,-0.113412598411606,0.032179068765925,0.00543184770117747,-0.0265814621215058,-0.017921769551233,-0.0461742026642857,-0.0818932581805617,-0.111532115707981
1915,-0.0940496348838027,-0.0705339793439335,-0.0313557489805693,0.0118159155752738,-0.0654179159678093,-0.0230427736371845,-0.065101614004749,-0.0501624314708703,0.0358707112048764,0.0089512016912788,-0.00305092125997333,-0.157286367786289,-0.0747892594922407,-0.0347734352693738,-0.0800978761279952,-0.115393506839492,0.0356737798582338,0.00847788789585964,-0.0263706155274746,-0.0177501685864543,-0.048483461869354,-0.084235774901222,-0.116585767948745
1916,-0.0953415000689584,-0.0715461673207807,-0.0301483383842683,0.01591404777107,-0.0642942689272537,-0.0217826569691544,-0.0660464644607972,-0.0519500314764186,0.0405324955600348,0.0137153401659609,0.00164289894836711,-0.159550516782063,-0.0691720940142058,-0.0349349428973342,-0.0817156371876809,-0.117184326208494,0.0392277324568997,0.0115939555323713,-0.0262396437557968,-0.0176424302013131,-0.0510694529598234,-0.0866074417723937,-0.121940980174106
1917,-0.0965223083132281,-0.0725964668014841,-0.0288882828407305,0.0203035290820903,-0.0631705279457333,-0.0207516419015912,-0.0670885455050448,-0.0539945692562162,0.045314843321384,0.0184661092091925,0.00650608381567853,-0.161699762009574,-0.0629291044088636,-0.0351827544095444,-0.0833544362470554,-0.11878902982242,0.0428375164784223,0.0147786570981797,-0.0261775330143962,-0.0175909781827328,-0.0539093747528717,-0.0890002148009402,-0.127567553901491
1918,-0.0975918568118302,-0.0736744744153656,-0.0275719872434833,0.0249646578895192,-0.0620378580056486,-0.0199226392725031,-0.0682133179349201,-0.0562710960516223,0.0502125123103951,0.0232139388476613,0.0115338520139261,-0.163723283826099,-0.0560921659860769,-0.0355041799424702,-0.0850046397448368,-0.120211590985074,0.0464997218393012,0.0180305990807519,-0.0261732695111965,-0.0175882363176369,-0.0569804260656769,-0.0914060499937249,-0.133435290648325
1919,-0.0985499427599836,-0.0747697867917471,-0.0261958564860542,0.029877732574541,-0.0608874240894,-0.0192685599198983,-0.0694062425478514,-0.0587546631039961,0.0552202603485393,0.0279692591080548,0.016721422215075,-0.165610262588915,-0.0486931540557086,-0.0358865296325775,-0.0866566141197432,-0.12145598300026,0.0502109384560362,0.0213483879675551,-0.0262158394541214,-0.0176266283929487,-0.0602598057154168,-0.0938169033576112,-0.139513991932036
