"year","model","pred_mean","lower","upper"
2041,NA,1.93412661352647,1.82608256459635,2.03643915191983
2042,NA,1.9791860459429,1.87119782159229,2.08157382348653
2043,NA,2.02474951528111,1.91685013877887,2.12690592489749
2044,NA,2.07083852237716,1.96294874921829,2.17343233044713
2045,NA,2.11747327980143,2.00980205811913,2.22068583275568
2046,NA,2.16467254669758,2.05709878756897,2.26797031744447
2047,NA,2.21245347918497,2.1052414790306,2.31590908625409
2048,NA,2.260831497159,2.15335612792715,2.36432321659504
2049,NA,2.30982016816886,2.20202805679141,2.41365035344817
2050,NA,2.35943110889375,2.25189944318756,2.46323571872379
2051,NA,2.40967390458147,2.30169258599517,2.51326696054081
2052,NA,2.46055604665338,2.3524345417829,2.56453385198973
2053,NA,2.51208288852386,2.4042677679242,2.61623077761085
2054,NA,2.56425761952914,2.45599943264634,2.66817496990769
2055,NA,2.61708125670961,2.50913710705796,2.72107962103776
2056,NA,2.67055265404706,2.56299859891202,2.7748613076993
2057,NA,2.72466852862071,2.61714676669946,2.82874692206531
2058,NA,2.77942350301582,2.67140260904392,2.88385063414376
2059,NA,2.83481016319869,2.72689575823467,2.93928067871289
2060,NA,2.89081913096032,2.78243970465308,2.99515919865166
2061,NA,2.94743914993025,2.83882090452255,3.05211211259003
2062,NA,3.00465718407279,2.89574627263922,3.10905135620408
2063,NA,3.06245852749996,2.95350282149601,3.16664675829439
2064,NA,3.1208269243697,3.01186807687341,3.22506754970473
2065,NA,3.17974469758526,3.07081660685315,3.28425526320606
2066,NA,3.23919288497064,3.130230445739,3.34370665495691
2067,NA,3.29915138157063,3.18991590443205,3.40483159600491
2068,NA,3.35959908670831,3.25009144312793,3.46490681455722
2069,NA,3.42051405443194,3.31128220807804,3.52594818570793
2070,NA,3.48187364599377,3.37258186816195,3.58735049934004
2071,NA,3.5436546830253,3.43430533770124,3.6494386236168
2072,NA,3.60583360010893,3.49665709122284,3.71133837457129
2073,NA,3.66838659549102,3.5591880337341,3.77343976808337
2074,NA,3.73128977873656,3.62213674458777,3.83648458197642
2075,NA,3.79451931419203,3.68522020836098,3.89963555668966
2076,NA,3.85805155919569,3.74917909817037,3.96275414382059
2077,NA,3.92186319605727,3.81299548020482,4.02643699859715
2078,NA,3.98593135691645,3.87745301664182,4.09036061546402
2079,NA,4.0502337406833,3.94123388045471,4.15434475084941
2080,NA,4.11474872136287,4.00625262446265,4.21932596027959
2081,NA,4.17945544716579,4.07112171972802,4.28432134300357
2082,NA,4.2443339299111,4.13630007508246,4.3483400210295
2083,NA,4.30936512433105,4.20238472313723,4.41306918834851
2084,NA,4.37453099698992,4.26790304622207,4.47769089029472
2085,NA,4.43981458463099,4.33304489495155,4.54265487397188
2086,NA,4.50520004186263,4.39885203472553,4.60845085287109
2087,NA,4.57067267818808,4.46413294524257,4.67415720374748
2088,NA,4.63621898447077,4.5297591466636,4.73964319199561
2089,NA,4.70182664900631,4.59579649240558,4.80570927762756
2090,NA,4.76748456344503,4.66133642377889,4.87157080954991
2091,NA,4.83318281886964,4.7272258443222,4.93782510071358
2092,NA,4.89891269238533,4.79167270601757,5.00379426537207
2093,NA,4.9646666246171,4.85603872470323,5.07000585726917
2094,NA,5.03043818853737,4.92070553990514,5.13626636031276
2095,NA,5.09622205005779,4.98520857601071,5.20308056677556
2096,NA,5.16201392081772,5.04983994964782,5.26952652772725
2097,NA,5.22781050358248,5.11405860583386,5.33630802072857
2098,NA,5.29360943063041,5.17830167867569,5.40369822480755
2099,NA,5.35940919545416,5.24230808777619,5.47166378463307
2100,NA,5.4252090780315,5.30598070991739,5.5395704613201
